Request ID,Num Clients,Bottleneck Bandwidth,Bottleneck Latency,Bottleneck Packet Loss,Dash Policy,Client Resolution,Request Duration,TCP Output Packet,TCP Output Delay,TCP Output Jitter,TCP Output Packet Loss,TCP Input Packet,TCP Input Delay,TCP Input Jitter,TCP Input Packet Loss,TCP Input Retransmission,Std Input Rate,0 Input Rate Variation,5 Input Rate Variation,10 Input Rate Variation,25 Input Rate Variation,50 Input Rate Variation,75 Input Rate Variation,90 Input Rate Variation,95 Input Rate Variation,100 Input Rate Variation,Std Inter Arrival Times Req,0 Inter Arrival Times Req,5 Inter Arrival Times Req,10 Inter Arrival Times Req,25 Inter Arrival Times Req,50 Inter Arrival Times Req,75 Inter Arrival Times Req,90 Inter Arrival Times Req,95 Inter Arrival Times Req,100 Inter Arrival Times Req,Start Up Delay,Avg Video Download Rate,Std Video Download Rate,Avg Video Buffer Level,Std Video Buffer Level,Stall Events,Rebuffering Ratio,Stall Label,Total Stalling Time,Avg Time Stalling Events,Avg Quality Index,Avg Video Bit Rate,Avg Video Quality Variation,Avg Download Bit Rate
81,348300000,11,0.01,RateBasedAdaptationLogic,19201080,70,13187,11.0158,0.000383196,0.00978236,23891,12.0197,0.391831,0.00950149,4,308475.0,,1560,1560,440890,836887,957802,1166491,1358554,1373074,1384291,0.674022,0.253317,0.253317,1.12525,1.33385,1.65065,2.20844,2.6714,2.934,3.58262,1066,4087420.0,1025140.0,2.28571,1.66599,0,0.0,NoStalling,0,0.0,0.814286,3501350.0,964518.0,4087420.0
81,348300000,11,0.01,RateBasedAdaptationLogic,19201080,70,13707,11.0158,0.000382432,0.011381,24201,12.1044,0.390013,0.0103302,14,227336.0,,249977,249977,628778,819334,966514,1120479,1182344,1287007,1428441,0.581156,0.141653,0.141653,1.10087,1.37582,1.73788,1.99978,2.40566,2.91185,2.9841,587,4089300.0,1434660.0,3.02857,1.99264,2,0.02,MildStalling,1400,41.1765,0.857143,3399680.0,832753.0,4089300.0
81,348300000,11,0.01,RateBasedAdaptationLogic,19201080,70,13397,11.0158,0.000388424,0.0108233,24040,12.034,0.391502,0.0103577,4,305456.0,,13176,13176,496646,771946,947838,1123331,1194079,1313542,1763924,0.698336,0.317786,0.317786,0.922897,1.37822,1.64754,2.1579,2.58245,3.09422,3.55431,1075,4167910.0,2101190.0,2.51429,1.93275,0,0.0,NoStalling,0,0.0,0.8,3360180.0,953224.0,4167910.0
81,348300000,11,0.01,RateBasedAdaptationLogic,19201080,70,13950,11.0158,0.000353277,0.00939068,24716,12.1805,0.390592,0.00938663,6,377147.0,,1560,1560,543048,717104,966514,1193026,1503236,1641809,1695019,0.896322,0.110447,0.110447,0.714249,1.12843,1.99346,2.52442,2.74118,3.23327,4.34039,590,4490770.0,2169300.0,0.529412,0.882353,4,0.0228571,MildStalling,1600,48.4848,0.808824,3704470.0,1441360.0,4490770.0
81,348300000,11,0.01,RateBasedAdaptationLogic,19201080,70,14656,11.0158,0.000349208,0.00852893,26615,12.0253,0.393787,0.00879203,3,322654.0,,378055,378055,565814,813120,1044523,1304830,1424429,1535299,1813565,0.695368,0.198397,0.198397,1.03337,1.36113,1.67689,2.21056,2.81018,3.03159,3.29777,584,4637450.0,1216090.0,1.88571,1.50753,1,0.00428571,MildStalling,300,8.82353,0.771429,3967270.0,1380890.0,4637450.0
81,348300000,11,0.01,RateBasedAdaptationLogic,19201080,70,12408,11.0159,0.000419695,0.00902643,22257,12.0293,0.390517,0.0107831,7,360944.0,,6742,6742,198823,750684,950742,1027550,1123330,1398692,1564072,0.790603,0.324555,0.324555,0.599063,1.18935,1.76321,2.22436,2.8407,3.08527,4.30779,1051,3963410.0,1454480.0,2.17143,1.74824,1,0.00142857,MildStalling,100,2.94118,0.8,3215360.0,1236330.0,3963410.0
81,348300000,11,0.01,RateBasedAdaptationLogic,19201080,70,13438,11.0158,0.000366567,0.00982289,23862,12.0459,0.388952,0.00980639,26,356052.0,,1560,1560,374151,803491,1015882,1147496,1368319,1410826,1631131,0.835602,0.124173,0.124173,0.825343,1.38385,1.70376,2.5194,2.90859,3.16972,4.45377,586,4352300.0,1763480.0,1.29412,1.27255,3,0.0314286,MildStalling,2200,66.6667,0.794118,3561410.0,1044170.0,4352300.0
81,348300000,11,0.01,RateBasedAdaptationLogic,19201080,70,13954,11.0158,0.000357863,0.00924466,24645,12.1295,0.38964,0.00998174,15,309092.0,,433231,433231,469531,734194,977258,1174668,1353880,1458424,1668482,0.912013,0.111694,0.111694,0.64987,1.14954,1.837,2.42777,3.11679,3.55835,3.76505,585,4628270.0,2118150.0,0.647059,0.935646,3,0.03,MildStalling,2100,63.6364,0.764706,3767720.0,1590300.0,4628270.0
81,348300000,11,0.01,RateBasedAdaptationLogic,19201080,70,13651,11.0158,0.000383836,0.0102557,24462,12.0323,0.391313,0.00997465,4,272173.0,,108,108,609322,872134,970471,1110262,1221548,1370170,1434058,0.664058,0.161576,0.161576,0.997971,1.27976,1.71884,2.13597,2.51344,2.76659,3.6741,1721,4101230.0,947685.0,2.34286,1.54814,0,0.0,NoStalling,0,0.0,0.75,3510420.0,995840.0,4101230.0
81,348300000,11,0.01,RateBasedAdaptationLogic,19201080,70,12737,11.0158,0.000404692,0.0107561,22894,12.0473,0.391034,0.00995894,8,337231.0,,108,108,358644,726000,921103,1157779,1239491,1333352,1594831,0.731618,0.163264,0.163264,0.804674,1.34848,1.60867,1.97383,2.75461,3.29419,3.58836,1721,3710100.0,1047120.0,1.82353,1.83865,1,0.00428571,MildStalling,300,9.09091,0.757353,3155880.0,895690.0,3710100.0
